,0
ones,1.455354009871674
prepared,1.4216103310895767
know,1.3683785130411694
pizza,1.2747589823332226
don,1.0240680259822459
customer,0.9646330893791033
clean,0.9282869189478788
dough,0.8648931208829667
beautiful,0.8585115522123644
nice,0.7963397374086331
small,0.7438279563907908
taste,0.23137358454450663
food,0.21907658703048455
delicious,0.20168699831298914
eat,0.1655488882275186
service,0.1558495717716851
prices,0.15518544141014057
meat,0.13589533217197422
little,0.13518583350011332
ate,0.13003521614585742
like,0.128957591429861
great,0.12371610358321745
time,0.12156229094428739
say,0.1176547106402405
try,0.10959051432728195
recommend,0.10756291181005045
best,0.10583785910483204
bit,0.1028952186024534
really,0.10129815105680191
came,0.10100390023620531
restaurant,0.10047558984483984
bad,0.09351932450448967
tl,0.08878733310965635
went,0.08759835440010208
price,0.08711696662570431
good,0.08661059755845235
come,0.08546831435337542
place,0.08386765302637508
think,0.08339976438919149
menu,0.08240488515981113
atmosphere,0.08167976802433259
tasty,0.08060868047542778
breakfast,0.08025902093757624
staff,0.08006885560875728
bread,0.0798471057122814
flavors,0.07756863825417333
employees,0.07753078372746953
definitely,0.0762400835089863
did,0.07602587823346364
expensive,0.0754255355903294
liked,0.07532538733621971
want,0.07517312517035873
drink,0.07495712266378453
view,0.0723315467811902
lot,0.07166455449758707
crowded,0.0700114073743787
quality,0.0698093259841379
high,0.0688755861343604
ve,0.06815594631287489
fast,0.06763729080423354
dishes,0.06694153156156636
tasted,0.06664915215527896
fresh,0.06629485962978478
soup,0.06470141532493967
queue,0.06421754841081312
people,0.06371571823647024
tried,0.06244335000480587
fish,0.062243766155446155
portion,0.06190640986955037
thank,0.06158395853384077
wait,0.06093028616728054
treats,0.06078087487141437
ice,0.05948935122859969
tea,0.05885016082085658
better,0.05868370443628895
cafe,0.058382780522358436
terms,0.05789423752449039
experience,0.05785510025977112
doner,0.05722239001803078
kebab,0.056061150891369926
ordered,0.05550229278175537
hot,0.05466344026797661
sauce,0.05458490210220427
flavor,0.05329975860525957
cream,0.05313684001253362
hamburger,0.052829064876431915
portions,0.05281500853245758
sweet,0.05265492876606009
inside,0.05258067165160324
sit,0.05224961734763122
beyran,0.05207814888305655
didn,0.05202001270863507
spacious,0.051844685404908636
places,0.05153934812653016
rice,0.05142007239587995
waiters,0.0509251616351107
quite,0.050680771772103124
order,0.05037070724929758
line,0.050187236803482756
chicken,0.049484907059554474
dessert,0.049440057090024254
tastes,0.049097239978886015
cooked,0.04877729384451018
used,0.04869038869472074
business,0.048669957446352705
served,0.048472968664519146
coffee,0.048213261947926724
ambiance,0.047856178125743686
appetizers,0.04783958372012968
evening,0.047697548645784606
cheap,0.04750301041794316
location,0.04701297582714445
wanted,0.04698021643704749
friendly,0.04669437868713338
amazing,0.04608288042154243
reasonable,0.045036987613945666
wife,0.04499103945817922
environment,0.044896795599991816
pasta,0.04455952939769597
salad,0.044421561514361316
eaten,0.044093535501401576
types,0.04368427094157499
variety,0.04353014802282125
meals,0.043118308061633304
especially,0.042500128753316324
life,0.04217791227505407
cold,0.04134003600875261
paid,0.040516559087327556
toilets,0.039997965639863346
cheese,0.039913107542035885
sauces,0.03978782021349141
eating,0.03950516598132161
open,0.03949741880030407
tables,0.039420339250935126
outside,0.039407021816783246
marmaris,0.03935166686025194
sea,0.03892546542012846
family,0.03804890907366253
decent,0.03778066246402417
problem,0.036990519017168544
meal,0.036580399871694536
excellent,0.03628125855978461
unfortunately,0.03601797620285519
different,0.0353985603321496
perfect,0.034851744156751616
ayran,0.03452575519173097
pleasant,0.03427987245796463
minutes,0.033913034507395336
said,0.033855306660869375
big,0.03316785641103782
normal,0.03268050970408254
successful,0.0326143651967506
just,0.03255221067044797
asked,0.03248095203901675
products,0.032300466817583404
lahmacun,0.031845344189956735
late,0.031835477563701906
interested,0.03148189115283892
mixed,0.03132864126481857
work,0.031105424668230727
smiling,0.03097752077733117
kind,0.030935050886726604
table,0.030537387994759295
dinner,0.03018363664819633
worth,0.030034260563517563
boyoz,0.029808597757606276
pretty,0.0296489616304885
problems,0.029514514032663083
super,0.02929434519345066
satisfied,0.02890093913508028
going,0.02884404734615883
way,0.028531684674261232
oily,0.028519284206440804
care,0.028417640248047937
need,0.028375794960613192
burger,0.02832354791588061
dry,0.028196492610916467
wasn,0.028108056364317124
roasted,0.028042450944868166
orders,0.027912527905791004
istanbul,0.02790569115515383
pizzas,0.027815581037708023
busy,0.027681717234511214
wonderful,0.02759096149239471
seen,0.027120636578316558
presentation,0.0269722274033171
comes,0.02693127158966361
long,0.02688618127575643
meatballs,0.02673963463252798
love,0.02643088380682251
iskender,0.026259876731901888
shop,0.026192266943829486
20,0.026153827251781323
waffles,0.02613652770448472
preferred,0.025677014932089955
compared,0.025623100769504765
caring,0.025406141694239534
pleasure,0.025397148741533628
liver,0.024993273773829667
udon,0.024437104326543526
waited,0.024340010813335602
ravioli,0.024196305691978715
hygiene,0.024113711668771857
choice,0.0240332290003403
beach,0.023989878432114302
fried,0.023973172895374845
average,0.02383714464155655
quickly,0.023197564982442957
waiting,0.023090156907701425
happy,0.02297167754202559
stop,0.022877532227361375
loved,0.022562966240696463
special,0.022534237567045003
point,0.022470147317513293
photo,0.02242337665655306
affordable,0.022413524991495286
couldn,0.022102378148848502
satisfying,0.021982298213712465
arrived,0.021808008089636167
